symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval
LADR,139,15,0.15,0.1,0.25,20,290,13.78,0.20027845490494,0.196856391595765,0.259513456113841
MVC,76,7.5,2.6,2.15,2.9,15,47,10.01,0.0984565485881577,0.806458867446732,2.51000000000375
BKU,48,40,0.06,0.05,0.2,10,226,35.57,0.325932900362147,0.267138035619243,0.375959335888084
CCE,111,55,2.85,2.7,3.3,70,1732,41.619999,0.175677072491673,0.795858289990215,0.00271025748173263
GXP,76,30,1.84,1.55,2.05,11,1091,30.299999,0.100732632925941,0.345848373783812,0.715726426614797
WRI,111,30,2.9,2.2,3.1,9,59,31.74,0.210107252178309,0.312215160579952,2.4614795986187
STL,20,25,0.45,0.1,0.45,15,15,24.65,0.243178240795718,0.262767510196695,0.405878025366636
GCP,139,35,0.28,0.15,0.45,1,56,30.700001,0.220781638329158,0.230621735151336,0.399135447418538
NFX,20,28,2.07,1.85,2.1,300,1410,29.67,0.316760392240353,0.394919101661333,1.93537014370769
WCN,48,70,1.75,1.5,1.7,10,30,69.959999,0.121855417388631,0.169909838950341,1.213689376087
KEY,34,18,0.95,1.04,1.16,30,30,18.82,0.22694460553708,0.299895852590431,1.02026875490648
CUB,20,55,0.3,0.15,0.3,5,121,51,0.394873848791082,0.311350374262178,0.570790814741079
QTWO,139,55,0.4,0.25,0.6,100,100,41.650002,0.200108178537534,0.372035514470427,0.0248819028075719
AG,27,7.5,0.23,0.1,0.2,506,629,6.84,0.428925037741471,0.587215450702917,0.10218916091794
EQGP,111,35,0.8,0.65,1.1,1,0,28.959999,0.120610496188326,0.467511124134368,0.00136878332275986
NEWR,20,50,1.35,1.3,1.6,10,249,49.799999,0.233099987022712,0.364520921330973,0.989021486154364
TSN,111,70,3.76,3.6,3.9,2028,695,70.449997,0.295561687388439,0.237757061884953,4.78977929264042
GTY,20,30,0.05,0,0.05,30,30,28.610001,0.14647992330925,0.157023974176611,0.0381822817775919
TM,20,100,21.55,18.85,20.4,110,26,119.169998,0.107196397447971,0.687953227688828,19.1699980000005
BOH,202,90,1,1.55,1.95,20,20,83.360001,0.197092159926133,0.175694831845934,2.42078313004398
TKR,167,55,0.68,0.45,0.65,3,3,48.549999,0.189803956215201,0.197436584033432,0.582531364222813
MTL,111,7.5,0.2,0.15,0.25,100,99,5.17,0.32688136012131,0.743808873419051,0.00799337491514726
V,6,107,0.09,0.05,0.2,2411,2768,105.239998,0.137815649590488,0.144726450791753,0.175340559294447
SNV,139,50,0.31,0.25,0.55,60,60,46.060001,0.217370833690683,0.161377589200089,1.0636963514136
GES,167,20,0.9,0.8,0.95,5,22,17.030001,0.270084574051692,0.424868630269856,0.35034837823638
AMP,20,140,9.1,8.9,9.5,238,295,148.509995,0.201283498813547,0.284619327794435,8.85188247250048
DSW,258,25,1.5,1.45,1.75,251,270,21.48,0.200217406805564,0.414350021933662,0.389823932306591
AMN,20,50,0.3,0.3,0.6,301,800,45.700001,0.338940768672875,0.466067447238688,0.243383445283399
ALR,48,55,0.05,0,0.05,50,101,50.990002,0.172253784984687,0.12645194012506,0.181035573256112
HK,111,2,0.05,0,0.1,36,2120,6.8,0.614089502866288,-1.7764887441659e-16,4.80004552325378
